Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	17.44799		|			0
185	|	18.31495		|	11.79016	(+/-3.20159)	|	1.16147	(+/-0.74522)	|	1.04969		|	0.42486	(3e-05)
186	|	18.11119		|	11.70584	(+/-3.14881)	|	1.28783	(+/-0.87893)	|	1.03801		|	0.45645	(1e-05)
187	|	18.59482		|	11.72572	(+/-3.24157)	|	1.21754	(+/-0.78449)	|	1.06573		|	0.59855	(0.0)
188	|	18.31802		|	11.68652	(+/-3.19171)	|	1.37449	(+/-0.86595)	|	1.04986		|	0.5391	(0.0)
189	|	18.61303		|	11.72433	(+/-3.18972)	|	1.23896	(+/-0.76975)	|	1.06677		|	0.45017	(1e-05)
190	|	18.13624		|	11.76174	(+/-3.192)	|	1.21953	(+/-0.86401)	|	1.03945		|	0.4666	(0.0)
191	|	17.93442		|	11.73993	(+/-3.17835)	|	1.24966	(+/-0.80458)	|	1.02788		|	0.49082	(0.0)
192	|	18.29935		|	11.74822	(+/-3.18827)	|	1.45027	(+/-0.85697)	|	1.04879		|	0.47659	(0.0)
193	|	18.13532		|	11.79005	(+/-3.27386)	|	1.53148	(+/-0.92525)	|	1.03939		|	0.56134	(0.0)
194	|	18.0243		|	11.83299	(+/-3.22179)	|	1.40457	(+/-0.90532)	|	1.03303		|	0.47187	(0.0)
195	|	17.86133		|	11.71474	(+/-3.16679)	|	1.36746	(+/-0.85919)	|	1.02369		|	0.48082	(0.0)
196	|	18.66519		|	11.76583	(+/-3.21777)	|	1.35396	(+/-0.82025)	|	1.06976		|	0.52694	(0.0)
197	|	18.05603		|	11.74057	(+/-3.19485)	|	1.35233	(+/-0.9197)	|	1.03485		|	0.48011	(0.0)
198	|	18.40907		|	11.73949	(+/-3.2221)	|	1.28721	(+/-0.84738)	|	1.05508		|	0.49822	(0.0)
199	|	18.15331		|	11.76643	(+/-3.24058)	|	1.34708	(+/-1.03034)	|	1.04042		|	0.47303	(0.0)
